ID,latitude,longitude,label,group,old_group,missing-mincov75 ,notes
DE638,32.3252778,101.080639,rhinanthoides,0,0,0.127,
DE639,32.3375,101.420833,rhinanthoides,0,0,0.051,
DE661,32.0905556,102.563333,rhinanthoides,0,0,0.141,
DE667,32.3224167,102.455417,rhinanthoides,0,0,0.077,
DE682,32.7111111,102.117361,rhinanthoides,0,0,0.065,
DE703,33.31375,101.283611,rhinanthoides,0,0,0.127,
DE71,30.0109722,100.316167,rhinanthoides,4,4,0.066,
JJ106,29.3769444,96.8941667,rhinanthoides,3,3,0.337,INCLUDE – but high missing data ()
JJ24,27.88160278,99.66681667,rhinanthoides,-1,-1,0.341,EXCLUDE – mislabeled – is cephalantha
JJ71,30.6064222,97.0669111,rhinanthoides,3,3,0.24,
